# Measured before/after demo metrics for the optimization chapter.
# Machine: Intel Core i5-5200U, kernel 7.2.0_1, measured 2026-08-25.
# perf stat (user-space events), RSS from /proc/self/status VmHWM.
# Demo 1: copy 512 MiB with checksum. Demo 2: pythagorean triples,
# stage 0 at bound 20000, stages 1-2 at bound 2000000.
# Rows 1-6: one representative run per stage (wall_s, instructions,
# cycles, and derived columns from that run). Rows 8-13: wall time per
# run, p50 and p99, over 20 runs per stage.
demo,stage,miBps,wall_s,instructions,cycles,ipc,branch_miss_pct,l1_miss_pct,dtlb_miss_pct,page_faults,rss_kib,llc_loads,llc_load_miss_pct
io,0,1381.2,0.389,2178970540,1917034476,1.14,0.40,11.66,0.011,90,2016,9453593,34.9
io,1,1405.1,0.382,2191191144,1869681989,1.17,0.40,10.19,0.010,91,2076,9640978,32.5
io,2,1593.9,0.337,2062013028,1820771682,1.13,0.41,11.01,0.011,91,2028,11059643,29.1
triples,0,0,1.306,6483129679,3333180115,1.95,0.02,7.42,0.21,78,1936,102972,43.4
triples,1,0,0.024,727716823,1213653754,0.60,5.40,6.92,0.36,77,1916,14659,35.5
triples,2,0,0.023,639855189,1159456995,0.55,6.00,6.77,0.28,77,1916,14814,54.0
demo,stage,wall_p50_s,wall_p99_s
io,0,0.357,0.447
io,1,0.352,0.442
io,2,0.307,0.411
triples,0,1.215,1.223
triples,1,0.023,0.023
triples,2,0.022,0.023
# stacked (demo 1): baseline 1381.2 MiB/s; +batching 1405.1 (+1.7%);
# +SIMD fusion 1593.9 (+15.4% cumulative). Wall time p50 falls 357 to
# 307 ms (-14.0%). L3 (LLC) load miss rate falls 34.9% to 29.1%.
# per triple (demo 2): stage 0 2.04 M instructions; stage 1 2.29 k;
# stage 2 2.01 k. Wall time per triple (p50): stage 0 381 us; stages
# 1-2 72 ns and 69 ns.
